net,length_um
_0388_,7.21µm
_0390_,7.21µm
_0398_,7.21µm
_0406_,7.21µm
_0407_,7.21µm
_0410_,7.21µm
_0146_,7.2µm
_0180_,7.2µm
_0373_,7.2µm
corner_class_reg[1],7.2µm
net,7.2µm
net32,7.195µm
_0409_,7.185µm
_0362_,7.15µm
_0364_,7.15µm
_0456_,7.15µm
_0488_,7.15µm
net21,7.15µm
_0486_,7.135µm
net39,7.105µm
rst,7.1µm
delay_count_reg_2[4],7.1µm
_0835_,7.095µm
_0242_,7.09µm
_0367_,7.09µm
delay_chain_inst.delay_count_2\[0\],7.09µm
net275,7.09µm
_0366_,7.08µm
_0567_,7.08µm
_0605_,7.08µm
_0697_,7.075µm
_0718_,7.075µm
_0733_,7.075µm
_0737_,7.075µm
net583,7.075µm
_0341_,7.03µm
_0215_,7.02µm
net336,7.02µm
_0284_,7µm
_0689_,6.98µm
net376,6.98µm
net474,6.98µm
net516,6.98µm
_0371_,6.97µm
_0527_,6.97µm
_0852_,6.97µm
_0877_,6.97µm
_0522_,6.96µm
_0401_,6.885µm
_0469_,6.865µm
_0403_,6.84µm
ro_counter_inst.start,6.84µm
net265,6.84µm
net456,6.84µm
_0453_,6.79µm
_0471_,6.79µm
_0491_,6.79µm
_0163_,6.78µm
_0421_,6.78µm
_0776_,6.78µm
ro_count_reg_2[3],6.78µm
_0393_,6.765µm
net209,6.73µm
corner_class_reg[0],6.73µm
ro_count_reg_2[2],6.73µm
ro_count_reg_2[7],6.73µm
status_reg[1],6.73µm
_0011_,6.72µm
_0122_,6.72µm
_0161_,6.72µm
_0210_,6.72µm
_0559_,6.72µm
_0607_,6.72µm
net616,6.72µm
_0177_,6.67µm
_0184_,6.67µm
_0244_,6.67µm
_0445_,6.67µm
_0487_,6.67µm
_0724_,6.67µm
_0884_,6.67µm
_0012_,6.66µm
net600,6.62µm
_0586_,6.61µm
_0621_,6.61µm
_0937_,6.58µm
_0183_,6.5µm
_0377_,6.5µm
net407,6.5µm
_0602_,6.49µm
_0613_,6.49µm
_0796_,6.49µm
_0797_,6.49µm
_0798_,6.49µm
_0874_,6.49µm
_0113_,6.48µm
